Event,Date,Day,Begin,End,Room,Type
Sunday School,10/21/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,10/21/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,10/21/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,10/22/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,10/22/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,10/22/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,10/23/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,10/23/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,10/23/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,10/24/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,10/24/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,10/24/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,10/26/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,10/27/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,10/28/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,10/28/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,10/28/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,10/28/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Session Meeting,10/28/2018,Su,6:00:00 PM,8:00:00 PM,Keene Room,Session Meeting
Jazzercise,10/29/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,10/29/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,10/29/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,10/30/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,10/30/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,10/30/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,10/31/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,10/31/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,10/31/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,11/2/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/3/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,11/4/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,11/4/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,11/4/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,11/4/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,11/5/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/5/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,11/5/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,11/6/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,11/6/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,11/6/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,11/6/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,11/7/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/7/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,11/7/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,11/9/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,11/10/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,11/11/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,11/11/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,11/11/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
